,id,neighbourhood_cleansed,room_type,zipcode,latitude,longitude,property_type,price,number_of_reviews,review_scores_rating,reviews_per_month,square_feet,potential_annual_revenue,Zillow_Avg_Value,yield,rent_squre_foot
34,7343707,Briarcliff,Entire home/apt,98199.0,47.64609021,-122.4158477,House,225.0,14,100.0,2.8,0.0,27101.25,917500.0,2.95,0.0
35,8882345,Briarcliff,Entire home/apt,98199.0,47.64145682,-122.40388300000001,House,200.0,0,0.0,0.0,0.0,24090.0,917500.0,2.63,0.0
36,7676574,Briarcliff,Entire home/apt,98199.0,47.64012727,-122.40273909999998,House,250.0,4,100.0,1.05,0.0,30112.5,917500.0,3.28,0.0
37,3354761,Briarcliff,Entire home/apt,98199.0,47.64789129,-122.4087649,Apartment,95.0,9,84.0,0.51,0.0,11442.75,917500.0,1.25,0.0
38,3561237,Briarcliff,Entire home/apt,98199.0,47.64709029,-122.4085553,House,172.0,19,97.0,1.07,0.0,20717.4,917500.0,2.26,0.0
39,1831338,Briarcliff,Private room,98199.0,47.65020403,-122.4138818,House,99.0,17,79.0,0.89,0.0,11924.550000000001,917500.0,1.3,0.0
40,1840671,Briarcliff,Private room,98199.0,47.6489241,-122.41271470000001,House,99.0,11,87.0,0.61,0.0,11924.550000000001,917500.0,1.3,0.0
41,5559643,Briarcliff,Entire home/apt,98199.0,47.64724228,-122.4045048,House,175.0,13,93.0,1.38,0.0,21078.75,917500.0,2.3,0.0
42,8327083,Briarcliff,Entire home/apt,98199.0,47.65168581,-122.40457340000002,House,350.0,1,100.0,1.0,0.0,42157.5,917500.0,4.59,0.0
43,8087037,Briarcliff,Private room,98199.0,47.65266873,-122.40929609999999,House,69.0,0,0.0,0.0,0.0,8311.050000000001,917500.0,0.91,0.0
44,1696015,Briarcliff,Entire home/apt,98199.0,47.63149514,-122.39543710000001,House,375.0,15,95.0,0.67,0.0,45168.75,917500.0,4.92,0.0
45,7390195,Interbay,Private room,98199.0,47.63577294,-122.3886193,Apartment,75.0,9,100.0,1.68,0.0,9033.75,917500.0,0.98,0.0
46,4271174,Interbay,Private room,98199.0,47.63707971,-122.38617909999999,House,75.0,30,97.0,3.91,0.0,9033.75,917500.0,0.98,0.0
47,3237501,Interbay,Private room,98199.0,47.63502328,-122.3896955,House,90.0,15,100.0,0.78,0.0,10840.5,917500.0,1.18,0.0
48,6780615,Interbay,Entire home/apt,98199.0,47.63920028,-122.3866156,Apartment,150.0,12,97.0,2.05,0.0,18067.5,917500.0,1.97,0.0
49,9490093,Interbay,Entire home/apt,98199.0,47.63834273,-122.38619209999999,Condominium,150.0,0,0.0,0.0,0.0,18067.5,917500.0,1.97,0.0
50,3413183,Southeast Magnolia,Entire home/apt,98199.0,47.64806733,-122.3828611,Apartment,550.0,1,100.0,0.05,0.0,66247.5,917500.0,7.22,0.0
