,id,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,price,number_of_reviews,review_scores_rating,reviews_per_month,square_feet,potentian_annual_revenue
2412,227636,West Woodland,98107.0,47.66807053,-122.3620862,227636,120.0,131,97.0,2.59,800.0,17520.0
2431,1618842,West Woodland,98107.0,47.66524464,-122.3704095,1618842,95.0,115,99.0,4.79,450.0,13870.0
2445,843812,West Woodland,98107.0,47.67133442,-122.36579760000001,843812,180.0,10,96.0,0.29,1.0,26280.0
2592,506542,Wallingford,98105.0,47.658538899999996,-122.325818,506542,115.0,86,95.0,1.98,750.0,16790.0
2748,2309250,Bryant,98105.0,47.66975239,-122.28750790000001,2309250,189.0,23,100.0,1.16,2.0,27594.0
2890,1030411,Wallingford,98103.0,47.66540203,-122.3393869,1030411,200.0,3,100.0,0.16,2100.0,29200.0
2931,808811,Wallingford,98103.0,47.66521357,-122.336753,808811,175.0,45,90.0,1.58,1000.0,25550.0
2960,799882,Wallingford,98103.0,47.67084570000001,-122.3374666,799882,40.0,32,96.0,0.85,2000.0,5840.0
2965,873073,Wallingford,98103.0,47.65543135,-122.3334223,873073,175.0,4,95.0,0.43,1600.0,25550.0
2980,703058,Wallingford,98103.0,47.65243416,-122.3378533,703058,150.0,86,99.0,2.16,1200.0,21900.0
2988,1114695,Wallingford,98103.0,47.66121706,-122.33942420000001,1114695,245.0,38,95.0,1.22,1600.0,35770.0
3005,15108,Green Lake,98103.0,47.68826555,-122.3358555,15108,60.0,42,86.0,0.77,140.0,8760.0
3018,955506,Green Lake,98103.0,47.69044857,-122.3421874,955506,225.0,22,94.0,0.65,950.0,32850.0
3023,783061,Green Lake,98103.0,47.670306599999996,-122.3390952,783061,60.0,34,97.0,0.9,2000.0,8760.0
3072,749758,Greenwood,98103.0,47.69430816,-122.3506846,749758,98.0,13,85.0,0.4,1.0,14308.0
3082,587584,Greenwood,98103.0,47.68778214,-122.3485961,587584,99.0,11,100.0,0.26,1100.0,14454.0
3242,282934,Fremont,98103.0,47.65758911,-122.3543762,282934,115.0,65,99.0,1.9,660.0,16790.0
3269,262764,Fremont,98103.0,47.65420514,-122.3526037,262764,154.0,5,92.0,1.56,1200.0,22484.0
3274,706385,Eastlake,98102.0,47.64338999,-122.32582190000001,706385,138.0,188,100.0,4.85,750.0,20148.0
3293,619366,Eastlake,98102.0,47.64454557,-122.32552290000001,619366,115.0,146,98.0,3.52,650.0,16790.0
3335,1950446,Montlake,98102.0,47.63650431,-122.3193048,1950446,129.0,136,84.0,5.49,900.0,18834.0
3377,1545801,Broadway,98102.0,47.62545592,-122.3217415,1545801,325.0,23,90.0,0.81,1200.0,47450.0
3391,1897000,Broadway,98102.0,47.62217811,-122.31757169999999,1897000,155.0,15,98.0,0.61,650.0,22630.0
3447,1356339,Broadway,98102.0,47.62213656,-122.32570249999999,1356339,119.0,61,96.0,2.18,650.0,17374.0
3511,8673979,Broadway,98102.0,47.61865424,-122.3142091,8673979,115.0,4,90.0,1.33,0.0,16790.0
3514,13068,Broadway,98102.0,47.61854651,-122.32631809999998,13068,360.0,26,93.0,0.67,1850.0,52560.0
3541,1348777,Broadway,98102.0,47.62581022,-122.31926580000001,1348777,150.0,14,94.0,0.48,1200.0,21900.0
3545,384797,Broadway,98102.0,47.6256981,-122.32095359999998,384797,673.0,21,97.0,0.48,2600.0,98258.0
3567,446276,Broadway,98102.0,47.62289407,-122.325575,446276,195.0,30,99.0,0.69,0.0,28470.0
3591,26116,Broadway,98102.0,47.61742598,-122.32675630000001,26116,199.0,110,97.0,1.71,650.0,29054.0
3597,387079,Broadway,98102.0,47.62202056,-122.3239854,387079,119.0,41,94.0,0.99,0.0,17374.0
3615,934216,Pike-Market,98101.0,47.60816273,-122.3389926,934216,137.0,20,88.0,0.68,1150.0,20002.0
3641,206781,Belltown,98101.0,47.61551227,-122.337286,206781,120.0,18,96.0,1.0,500.0,17520.0
3645,1084046,Belltown,98101.0,47.61349951,-122.33802720000001,1084046,165.0,11,96.0,0.41,1150.0,24090.0
3744,2191169,Central Business District,98101.0,47.60736057,-122.33760729999999,2191169,142.0,18,94.0,0.76,0.0,20732.0
3773,1583047,First Hill,98101.0,47.61345287,-122.3234514,1583047,77.0,6,87.0,0.22,750.0,11242.0
